SNo,latitude,longitude,state,code,name,address,division
11107,13.12845,78.13338,,KQZ,Kolar,,SBC
11108,,,,HUD,Hudakola,,SBC
11109,12.98569,78.17864,,BWT,Bangarapet,,SBC
11110,14.12885,77.69605,,NRYP,Narayanapuram,,SBC
11111,14.16456,77.81207,,SSPN,Sri Sathya Sai Prasanthinilayam,,SBC
11112,14.18708,77.77132,,KTCR,Kotacheruvu ,,SBC
11113,14.31124,77.74552,,BSPL,Basampalle,,SBC
11114,12.98123,78.22618,,CNKH,Chinnakote,,SBC
11115,13.00056,77.67545,,KJM,Krishnarajapuram,,SBC
11116,12.99592,77.71928,,HDI,Hoodi,,SBC
11117,12.9964,77.76142,,WFD,Whitefield,,SBC
11118,12.98515,77.8313,,DKN,Devangonthi,,SBC
11119,12.99285,77.93874,,MLO,Malur,,SBC
11120,12.99553,78.01749,,BFW,Byatrayanahalli,,SBC
11121,12.98458,78.07111,,TCL,Tyakal,,SBC
11122,12.95453,77.70271,,MZV,Maaralahalli,,SBC
11123,15.14052,76.29572,,VRPD,Varadapura,,SBC
11124,12.8805,78.20056,,KSMJ,Kamasamudram,,SBC
11125,12.84225,78.24986,,BSM,Bisanattam,,SBC
11126,12.80348,78.27477,,GDP,Gudupulli,,SBC
11127,12.74093,78.34422,,KPN,Kuppam,,SBC
11128,12.66255,78.40676,,MAR,Mulanur,,SBC
11129,12.59417,78.46352,,PU,Patchur,,SBC
11130,12.57158,78.53712,,SKPT,Somanayakanpatti,,SBC
11131,12.60379,78.63504,,JTJ,Jolarpettai,,SBC
